id,text,label,words
0,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",0,"['the', 'international', 'electronic', 'industry', 'company', 'elcoteq', 'has', 'laid', 'off', 'tens', 'of', 'employees', 'from', 'its', 'tallinn', 'facility', 'contrary', 'to', 'earlier', 'layoffs', 'the', 'company', 'contracted', 'the', 'ranks', 'of', 'its', 'office', 'workers', 'the', 'daily', 'postimees', 'reported']"
1,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,1,"['with', 'the', 'new', 'production', 'plant', 'the', 'company', 'would', 'increase', 'its', 'capacity', 'to', 'meet', 'the', 'expected', 'increase', 'in', 'demand', 'and', 'would', 'improve', 'the', 'use', 'of', 'raw', 'materials', 'and', 'therefore', 'increase', 'the', 'production', 'profitability']"
2,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",1,"['according', 'to', 'the', 'company', 's', 'updated', 'strategy', 'for', 'the', 'years', 'basware', 'targets', 'a', 'long', 'term', 'net', 'sales', 'growth', 'in', 'the', 'range', 'of', 'with', 'an', 'operating', 'profit', 'margin', 'of', 'of', 'net', 'sales']"
3,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,1,"['financing', 'of', 'aspocomp', 's', 'growth', 'aspocomp', 'is', 'aggressively', 'pursuing', 'its', 'growth', 'strategy', 'by', 'increasingly', 'focusing', 'on', 'technologically', 'more', 'demanding', 'hdi', 'printed', 'circuit', 'boards', 'pcbs']"
4,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",1,"['for', 'the', 'last', 'quarter', 'of', 'componenta', 's', 'net', 'sales', 'doubled', 'to', 'eur', 'm', 'from', 'eur', 'm', 'for', 'the', 'same', 'period', 'a', 'year', 'earlier', 'while', 'it', 'moved', 'to', 'a', 'zero', 'pre', 'tax', 'profit', 'from', 'a', 'pre', 'tax', 'loss', 'of', 'eur', 'm']"
5,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",1,"['in', 'the', 'third', 'quarter', 'of', 'net', 'sales', 'increased', 'by', 'to', 'eur', 'mn', 'and', 'operating', 'profit', 'by', 'to', 'eur', 'mn']"
6,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,1,"['operating', 'profit', 'rose', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'in', 'the', 'corresponding', 'period', 'in', 'representing', 'of', 'net', 'sales']"
7,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",1,"['operating', 'profit', 'totalled', 'eur', 'mn', 'up', 'from', 'eur', 'mn', 'in', 'representing', 'of', 'net', 'sales']"
8,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,1,"['teliasonera', 'tlsn', 'said', 'the', 'offer', 'is', 'in', 'line', 'with', 'its', 'strategy', 'to', 'increase', 'its', 'ownership', 'in', 'core', 'business', 'holdings', 'and', 'would', 'strengthen', 'eesti', 'telekom', 's', 'offering', 'to', 'its', 'customers']"
9,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",1,"['stora', 'enso', 'norske', 'skog', 'm', 'real', 'upm', 'kymmene', 'credit', 'suisse', 'first', 'boston', 'cfsb', 'raised', 'the', 'fair', 'value', 'for', 'shares', 'in', 'four', 'of', 'the', 'largest', 'nordic', 'forestry', 'groups']"
10,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",1,"['a', 'purchase', 'agreement', 'for', 'tons', 'of', 'gasoline', 'with', 'delivery', 'at', 'the', 'hamina', 'terminal', 'finland', 'was', 'signed', 'with', 'neste', 'oil', 'oyj', 'at', 'the', 'average', 'platts', 'index', 'for', 'this', 'september', 'plus', 'eight', 'us', 'dollars', 'per', 'month']"
11,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",1,"['finnish', 'talentum', 'reports', 'its', 'operating', 'profit', 'increased', 'to', 'eur', 'mn', 'in', 'from', 'eur', 'mn', 'in', 'and', 'net', 'sales', 'totaled', 'eur', 'mn', 'up', 'from', 'eur', 'mn']"
12,"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",1,"['clothing', 'retail', 'chain', 'sepp', 'l', 's', 'sales', 'increased', 'by', 'to', 'eur', 'mn', 'and', 'operating', 'profit', 'rose', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'in']"
13,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",1,"['consolidated', 'net', 'sales', 'increased', 'to', 'reach', 'eur', 'm', 'while', 'operating', 'profit', 'amounted', 'to', 'eur', 'm', 'compared', 'to', 'a', 'loss', 'of', 'eur', 'm', 'in', 'the', 'prior', 'year', 'period']"
14,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",1,"['foundries', 'division', 'reports', 'its', 'sales', 'increased', 'by', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'in', 'the', 'corresponding', 'period', 'in', 'and', 'sales', 'of', 'the', 'machine', 'shop', 'division', 'increased', 'by', 'to', 'eur', 'mn', 'from', 'eur', 'mn', 'in', 'the', 'corresponding', 'period', 'in']"
